table_schema,table_name,grantee,privileges,grantable_privileges
public,gameday_email_sends,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_email_sends,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_email_sends,PUBLIC,,
public,gameday_email_sends,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_events,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_events,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_events,PUBLIC,,
public,gameday_events,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_final_standings,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_final_standings,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_final_standings,PUBLIC,,
public,gameday_final_standings,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_next_room_interest,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_next_room_interest,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_next_room_interest,PUBLIC,,
public,gameday_next_room_interest,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_participants,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_participants,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_participants,PUBLIC,,
public,gameday_participants,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_pick_cards,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_pick_cards,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_pick_cards,PUBLIC,,
public,gameday_pick_cards,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_picks,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_picks,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_picks,PUBLIC,,
public,gameday_picks,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_prop_library,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_prop_library,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_prop_library,PUBLIC,,
public,gameday_prop_library,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_props,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_props,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_props,PUBLIC,,
public,gameday_props,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_rooms,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_rooms,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
public,gameday_rooms,PUBLIC,,
public,gameday_rooms,service_role,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE",
