id,status,settled_at,updated_at,created_at
994d19bc-f8ee-46aa-8f8a-8aeda49a6165,settled,2026-03-20 22:09:51.928925-05,2026-03-20 22:09:51.928925-05,2026-03-16 17:39:31.258845-05
8c94e981-6e0d-4cae-920c-cded2753c4f7,settled,2026-03-20 20:17:42.482872-05,2026-03-20 20:17:42.482872-05,2026-03-15 14:23:03.818476-05
c5d9b585-c9c6-421d-a128-8d41d3095a75,settled,2026-03-20 18:58:03.836538-05,2026-03-20 18:58:03.836538-05,2026-03-18 00:06:23.027162-05
73b22f85-bd35-4a08-bc14-93f566d1f32d,settled,2026-03-20 18:53:21.178407-05,2026-03-20 18:53:21.178407-05,2026-03-18 13:37:06.01092-05
13afb108-e10e-47b3-b720-e9225417294d,settled,2026-03-20 00:21:22.76117-05,2026-03-20 00:21:22.76117-05,2026-03-16 01:21:51.94801-05
599e4195-4d31-403d-a6ad-61fd6d244dbc,settled,2026-03-20 00:21:09.205373-05,2026-03-20 00:21:09.205373-05,2026-03-18 00:35:08.328809-05
b999176b-dfa1-41df-a5b5-65d4bddb201a,settled,2026-03-18 00:45:43.47729-05,2026-03-18 00:45:43.47729-05,2026-03-18 00:42:12.225585-05
5075c931-0043-4e2f-89b1-49d0fcfcacf8,settled,2026-03-16 10:43:12.561984-05,2026-03-16 10:43:12.561984-05,2026-03-14 22:04:46.933567-05
e277b150-c51a-45de-8455-f95383868d9f,settled,2026-03-15 23:11:24.557611-05,2026-03-15 23:11:24.557611-05,2026-03-14 14:28:50.526955-05
25e2c8fa-e4f0-4366-97f6-75dc68d93d3d,settled,2026-03-15 21:16:23.644361-05,2026-03-15 21:16:23.644361-05,2026-03-15 19:01:20.767376-05
