table_schema,table_name,grantee,privilege_type
public,gameday_email_sends,anon,DELETE
public,gameday_email_sends,anon,INSERT
public,gameday_email_sends,anon,REFERENCES
public,gameday_email_sends,anon,SELECT
public,gameday_email_sends,anon,TRIGGER
public,gameday_email_sends,anon,TRUNCATE
public,gameday_email_sends,anon,UPDATE
public,gameday_email_sends,authenticated,DELETE
public,gameday_email_sends,authenticated,INSERT
public,gameday_email_sends,authenticated,REFERENCES
public,gameday_email_sends,authenticated,SELECT
public,gameday_email_sends,authenticated,TRIGGER
public,gameday_email_sends,authenticated,TRUNCATE
public,gameday_email_sends,authenticated,UPDATE
public,gameday_email_sends,service_role,DELETE
public,gameday_email_sends,service_role,INSERT
public,gameday_email_sends,service_role,REFERENCES
public,gameday_email_sends,service_role,SELECT
public,gameday_email_sends,service_role,TRIGGER
public,gameday_email_sends,service_role,TRUNCATE
public,gameday_email_sends,service_role,UPDATE
public,gameday_events,anon,DELETE
public,gameday_events,anon,INSERT
public,gameday_events,anon,REFERENCES
public,gameday_events,anon,SELECT
public,gameday_events,anon,TRIGGER
public,gameday_events,anon,TRUNCATE
public,gameday_events,anon,UPDATE
public,gameday_events,authenticated,DELETE
public,gameday_events,authenticated,INSERT
public,gameday_events,authenticated,REFERENCES
public,gameday_events,authenticated,SELECT
public,gameday_events,authenticated,TRIGGER
public,gameday_events,authenticated,TRUNCATE
public,gameday_events,authenticated,UPDATE
public,gameday_events,service_role,DELETE
public,gameday_events,service_role,INSERT
public,gameday_events,service_role,REFERENCES
public,gameday_events,service_role,SELECT
public,gameday_events,service_role,TRIGGER
public,gameday_events,service_role,TRUNCATE
public,gameday_events,service_role,UPDATE
public,gameday_final_standings,anon,DELETE
public,gameday_final_standings,anon,INSERT
public,gameday_final_standings,anon,REFERENCES
public,gameday_final_standings,anon,SELECT
public,gameday_final_standings,anon,TRIGGER
public,gameday_final_standings,anon,TRUNCATE
public,gameday_final_standings,anon,UPDATE
public,gameday_final_standings,authenticated,DELETE
public,gameday_final_standings,authenticated,INSERT
public,gameday_final_standings,authenticated,REFERENCES
public,gameday_final_standings,authenticated,SELECT
public,gameday_final_standings,authenticated,TRIGGER
public,gameday_final_standings,authenticated,TRUNCATE
public,gameday_final_standings,authenticated,UPDATE
public,gameday_final_standings,service_role,DELETE
public,gameday_final_standings,service_role,INSERT
public,gameday_final_standings,service_role,REFERENCES
public,gameday_final_standings,service_role,SELECT
public,gameday_final_standings,service_role,TRIGGER
public,gameday_final_standings,service_role,TRUNCATE
public,gameday_final_standings,service_role,UPDATE
public,gameday_next_room_interest,anon,DELETE
public,gameday_next_room_interest,anon,INSERT
public,gameday_next_room_interest,anon,REFERENCES
public,gameday_next_room_interest,anon,SELECT
public,gameday_next_room_interest,anon,TRIGGER
public,gameday_next_room_interest,anon,TRUNCATE
public,gameday_next_room_interest,anon,UPDATE
public,gameday_next_room_interest,authenticated,DELETE
public,gameday_next_room_interest,authenticated,INSERT
public,gameday_next_room_interest,authenticated,REFERENCES
public,gameday_next_room_interest,authenticated,SELECT
public,gameday_next_room_interest,authenticated,TRIGGER
public,gameday_next_room_interest,authenticated,TRUNCATE
public,gameday_next_room_interest,authenticated,UPDATE
public,gameday_next_room_interest,service_role,DELETE
public,gameday_next_room_interest,service_role,INSERT
public,gameday_next_room_interest,service_role,REFERENCES
public,gameday_next_room_interest,service_role,SELECT
public,gameday_next_room_interest,service_role,TRIGGER
public,gameday_next_room_interest,service_role,TRUNCATE
public,gameday_next_room_interest,service_role,UPDATE
public,gameday_participants,anon,DELETE
public,gameday_participants,anon,INSERT
public,gameday_participants,anon,REFERENCES
public,gameday_participants,anon,SELECT
public,gameday_participants,anon,TRIGGER
public,gameday_participants,anon,TRUNCATE
public,gameday_participants,anon,UPDATE
public,gameday_participants,authenticated,DELETE
public,gameday_participants,authenticated,INSERT
public,gameday_participants,authenticated,REFERENCES
public,gameday_participants,authenticated,SELECT
public,gameday_participants,authenticated,TRIGGER
public,gameday_participants,authenticated,TRUNCATE
public,gameday_participants,authenticated,UPDATE
public,gameday_participants,service_role,DELETE
public,gameday_participants,service_role,INSERT
